bus,technology,year_added,heat_share,demand_TWh,p_nom,p_nom_max,n_units,remaining_lifetime,decommissioning_year,carrier
DE0 2 heat,solar_thermal,2041,0.07150000000000001,15.999912500000002,12176.49,14611.79,800,25,2066,solar_thermal
DE0 2 heat,solar_thermal,2042,0.07466666666666667,16.708533333333335,12715.78,15258.94,835,25,2067,solar_thermal
DE0 2 heat,solar_thermal,2043,0.07783333333333334,17.41715416666667,13255.06,15906.07,871,25,2068,solar_thermal
DE0 2 heat,solar_thermal,2044,0.081,18.125775,13794.35,16553.22,906,25,2069,solar_thermal
DE0 2 heat,solar_thermal,2045,0.08416666666666667,18.834395833333335,14333.63,17200.36,942,25,2070,solar_thermal
DE0 2 heat,solar_thermal,2046,0.08733333333333333,19.543016666666666,14872.92,17847.5,977,25,2071,solar_thermal
DE0 2 heat,solar_thermal,2047,0.0905,20.2516375,15412.21,18494.65,1013,25,2072,solar_thermal
DE0 2 heat,solar_thermal,2048,0.09366666666666668,20.960258333333336,15951.49,19141.79,1048,25,2073,solar_thermal
DE0 2 heat,solar_thermal,2049,0.09683333333333334,21.66887916666667,16490.78,19788.94,1083,25,2074,solar_thermal
DE0 2 heat,solar_thermal,2050,0.1,22.3775,17030.06,20436.07,1119,25,2075,solar_thermal
DE0 9 heat,solar_thermal,2020,0.005,0.7006725,533.24,639.89,35,25,2045,solar_thermal
DE0 9 heat,solar_thermal,2021,0.008166666666666666,1.1444317499999999,870.95,1045.14,57,25,2046,solar_thermal
DE0 9 heat,solar_thermal,2022,0.011333333333333334,1.5881910000000001,1208.67,1450.4,79,25,2047,solar_thermal
DE0 9 heat,solar_thermal,2023,0.014499999999999999,2.03195025,1546.39,1855.67,102,25,2048,solar_thermal
DE0 9 heat,solar_thermal,2024,0.017666666666666667,2.4757095000000002,1884.1,2260.92,124,25,2049,solar_thermal
DE0 9 heat,solar_thermal,2025,0.020833333333333332,2.91946875,2221.82,2666.18,146,25,2050,solar_thermal
DE0 9 heat,solar_thermal,2026,0.024,3.3632280000000003,2559.53,3071.44,168,25,2051,solar_thermal
DE0 9 heat,solar_thermal,2027,0.02716666666666667,3.80698725,2897.25,3476.7,190,25,2052,solar_thermal
DE0 9 heat,solar_thermal,2028,0.030333333333333334,4.2507465,3234.97,3881.96,213,25,2053,solar_thermal
DE0 9 heat,solar_thermal,2029,0.033499999999999995,4.694505749999999,3572.68,4287.22,235,25,2054,solar_thermal
DE0 9 heat,solar_thermal,2030,0.03666666666666666,5.138264999999999,3910.4,4692.48,257,25,2055,solar_thermal
DE0 9 heat,solar_thermal,2031,0.03983333333333333,5.58202425,4248.12,5097.74,279,25,2056,solar_thermal
DE0 9 heat,solar_thermal,2032,0.043,6.025783499999999,4585.83,5503.0,301,25,2057,solar_thermal
DE0 9 heat,solar_thermal,2033,0.04616666666666666,6.46954275,4923.55,5908.26,323,25,2058,solar_thermal
DE0 9 heat,solar_thermal,2034,0.04933333333333333,6.913302,5261.26,6313.51,346,25,2059,solar_thermal
DE0 9 heat,solar_thermal,2035,0.0525,7.35706125,5598.98,6718.78,368,25,2060,solar_thermal
DE0 9 heat,solar_thermal,2036,0.05566666666666666,7.8008204999999995,5936.7,7124.04,390,25,2061,solar_thermal
DE0 9 heat,solar_thermal,2037,0.05883333333333333,8.24457975,6274.41,7529.29,412,25,2062,solar_thermal
DE0 9 heat,solar_thermal,2038,0.06199999999999999,8.688339,6612.13,7934.56,434,25,2063,solar_thermal
DE0 9 heat,solar_thermal,2039,0.06516666666666666,9.13209825,6949.85,8339.82,457,25,2064,solar_thermal
DE0 9 heat,solar_thermal,2040,0.06833333333333333,9.5758575,7287.56,8745.07,479,25,2065,solar_thermal
DE0 9 heat,solar_thermal,2041,0.07150000000000001,10.01961675,7625.28,9150.34,501,25,2066,solar_thermal
DE0 9 heat,solar_thermal,2042,0.07466666666666667,10.463376,7963.0,9555.6,523,25,2067,solar_thermal
DE0 9 heat,solar_thermal,2043,0.07783333333333334,10.907135250000001,8300.71,9960.85,545,25,2068,solar_thermal
DE0 9 heat,solar_thermal,2044,0.081,11.3508945,8638.43,10366.12,568,25,2069,solar_thermal
DE0 9 heat,solar_thermal,2045,0.08416666666666667,11.79465375,8976.14,10771.37,590,25,2070,solar_thermal
DE0 9 heat,solar_thermal,2046,0.08733333333333333,12.238413,9313.86,11176.63,612,25,2071,solar_thermal
DE0 9 heat,solar_thermal,2047,0.0905,12.68217225,9651.58,11581.9,634,25,2072,solar_thermal
DE0 9 heat,solar_thermal,2048,0.09366666666666668,13.125931500000002,9989.29,11987.15,656,25,2073,solar_thermal
DE0 9 heat,solar_thermal,2049,0.09683333333333334,13.569690750000001,10327.01,12392.41,678,25,2074,solar_thermal
DE0 9 heat,solar_thermal,2050,0.1,14.01345,10664.73,12797.68,701,25,2075,solar_thermal
DE0 A heat,solar_thermal,2020,0.005,1.3466855000000002,1024.87,1229.84,67,25,2045,solar_thermal
DE0 A heat,solar_thermal,2021,0.008166666666666666,2.1995863166666667,1673.96,2008.75,110,25,2046,solar_thermal
DE0 A heat,solar_thermal,2022,0.011333333333333334,3.052487133333334,2323.05,2787.66,153,25,2047,solar_thermal
DE0 A heat,solar_thermal,2023,0.014499999999999999,3.90538795,2972.14,3566.57,195,25,2048,solar_thermal
DE0 A heat,solar_thermal,2024,0.017666666666666667,4.758288766666667,3621.22,4345.46,238,25,2049,solar_thermal
DE0 A heat,solar_thermal,2025,0.020833333333333332,5.611189583333333,4270.31,5124.37,281,25,2050,solar_thermal
DE0 A heat,solar_thermal,2026,0.024,6.464090400000001,4919.4,5903.28,323,25,2051,solar_thermal
DE0 A heat,solar_thermal,2027,0.02716666666666667,7.3169912166666675,5568.49,6682.19,366,25,2052,solar_thermal
DE0 A heat,solar_thermal,2028,0.030333333333333334,8.169892033333333,6217.57,7461.08,408,25,2053,solar_thermal
DE0 A heat,solar_thermal,2029,0.033499999999999995,9.02279285,6866.66,8239.99,451,25,2054,solar_thermal
DE0 A heat,solar_thermal,2030,0.03666666666666666,9.875693666666665,7515.75,9018.9,494,25,2055,solar_thermal
DE0 A heat,solar_thermal,2031,0.03983333333333333,10.728594483333334,8164.84,9797.81,536,25,2056,solar_thermal
DE0 A heat,solar_thermal,2032,0.043,11.5814953,8813.92,10576.7,579,25,2057,solar_thermal
DE0 A heat,solar_thermal,2033,0.04616666666666666,12.434396116666667,9463.01,11355.61,622,25,2058,solar_thermal
DE0 A heat,solar_thermal,2034,0.04933333333333333,13.287296933333334,10112.1,12134.52,664,25,2059,solar_thermal
DE0 A heat,solar_thermal,2035,0.0525,14.14019775,10761.19,12913.43,707,25,2060,solar_thermal
DE0 A heat,solar_thermal,2036,0.05566666666666666,14.993098566666667,11410.27,13692.32,750,25,2061,solar_thermal
DE0 A heat,solar_thermal,2037,0.05883333333333333,15.845999383333334,12059.36,14471.23,792,25,2062,solar_thermal
DE0 A heat,solar_thermal,2038,0.06199999999999999,16.6989002,12708.45,15250.14,835,25,2063,solar_thermal
DE0 A heat,solar_thermal,2039,0.06516666666666666,17.55180101666667,13357.54,16029.05,878,25,2064,solar_thermal
DE0 A heat,solar_thermal,2040,0.06833333333333333,18.404701833333334,14006.62,16807.94,920,25,2065,solar_thermal
DE0 A heat,solar_thermal,2041,0.07150000000000001,19.257602650000003,14655.71,17586.85,963,25,2066,solar_thermal
DE0 A heat,solar_thermal,2042,0.07466666666666667,20.11050346666667,15304.8,18365.76,1006,25,2067,solar_thermal
DE0 A heat,solar_thermal,2043,0.07783333333333334,20.963404283333336,15953.88,19144.66,1048,25,2068,solar_thermal
DE0 A heat,solar_thermal,2044,0.081,21.8163051,16602.97,19923.56,1091,25,2069,solar_thermal
DE0 A heat,solar_thermal,2045,0.08416666666666667,22.66920591666667,17252.06,20702.47,1133,25,2070,solar_thermal
DE0 A heat,solar_thermal,2046,0.08733333333333333,23.522106733333334,17901.15,21481.38,1176,25,2071,solar_thermal
DE0 A heat,solar_thermal,2047,0.0905,24.37500755,18550.23,22260.28,1219,25,2072,solar_thermal
DE0 A heat,solar_thermal,2048,0.09366666666666668,25.22790836666667,19199.32,23039.18,1261,25,2073,solar_thermal
DE0 A heat,solar_thermal,2049,0.09683333333333334,26.080809183333336,19848.41,23818.09,1304,25,2074,solar_thermal
DE0 A heat,solar_thermal,2050,0.1,26.933710000000005,20497.5,24597.0,1347,25,2075,solar_thermal
DE0 E heat,solar_thermal,2020,0.005,0.666717,507.39,608.87,33,25,2045,solar_thermal
DE0 E heat,solar_thermal,2021,0.008166666666666666,1.0889711,828.75,994.5,54,25,2046,solar_thermal
DE0 E heat,solar_thermal,2022,0.011333333333333334,1.5112252000000002,1150.1,1380.12,76,25,2047,solar_thermal
DE0 E heat,solar_thermal,2023,0.014499999999999999,1.9334793,1471.45,1765.74,97,25,2048,solar_thermal
DE0 E heat,solar_thermal,2024,0.017666666666666667,2.3557334,1792.8,2151.36,118,25,2049,solar_thermal
DE0 E heat,solar_thermal,2025,0.020833333333333332,2.7779875,2114.15,2536.98,139,25,2050,solar_thermal
DE0 E heat,solar_thermal,2026,0.024,3.2002416,2435.5,2922.6,160,25,2051,solar_thermal
DE0 E heat,solar_thermal,2027,0.02716666666666667,3.6224957000000004,2756.85,3308.22,181,25,2052,solar_thermal
DE0 E heat,solar_thermal,2028,0.030333333333333334,4.0447498,3078.2,3693.84,202,25,2053,solar_thermal
DE0 E heat,solar_thermal,2029,0.033499999999999995,4.467003899999999,3399.55,4079.46,223,25,2054,solar_thermal
DE0 E heat,solar_thermal,2030,0.03666666666666666,4.889257999999999,3720.9,4465.08,244,25,2055,solar_thermal
DE0 E heat,solar_thermal,2031,0.03983333333333333,5.3115121,4042.25,4850.7,266,25,2056,solar_thermal
DE0 E heat,solar_thermal,2032,0.043,5.7337662,4363.6,5236.32,287,25,2057,solar_thermal
DE0 E heat,solar_thermal,2033,0.04616666666666666,6.1560203,4684.95,5621.94,308,25,2058,solar_thermal
DE0 E heat,solar_thermal,2034,0.04933333333333333,6.5782744,5006.3,6007.56,329,25,2059,solar_thermal
DE0 E heat,solar_thermal,2035,0.0525,7.0005285,5327.65,6393.18,350,25,2060,solar_thermal
DE0 E heat,solar_thermal,2036,0.05566666666666666,7.4227826,5649.0,6778.8,371,25,2061,solar_thermal
DE0 E heat,solar_thermal,2037,0.05883333333333333,7.8450367,5970.35,7164.42,392,25,2062,solar_thermal
DE0 E heat,solar_thermal,2038,0.06199999999999999,8.2672908,6291.7,7550.04,413,25,2063,solar_thermal
DE0 E heat,solar_thermal,2039,0.06516666666666666,8.6895449,6613.05,7935.66,434,25,2064,solar_thermal
DE0 E heat,solar_thermal,2040,0.06833333333333333,9.111799,6934.4,8321.28,456,25,2065,solar_thermal
DE0 E heat,solar_thermal,2041,0.07150000000000001,9.534053100000001,7255.75,8706.9,477,25,2066,solar_thermal
DE0 E heat,solar_thermal,2042,0.07466666666666667,9.956307200000001,7577.1,9092.52,498,25,2067,solar_thermal
DE0 E heat,solar_thermal,2043,0.07783333333333334,10.378561300000001,7898.45,9478.14,519,25,2068,solar_thermal
DE0 E heat,solar_thermal,2044,0.081,10.800815400000001,8219.8,9863.76,540,25,2069,solar_thermal
DE0 E heat,solar_thermal,2045,0.08416666666666667,11.223069500000001,8541.15,10249.38,561,25,2070,solar_thermal
DE0 E heat,solar_thermal,2046,0.08733333333333333,11.6453236,8862.5,10635.0,582,25,2071,solar_thermal
DE0 E heat,solar_thermal,2047,0.0905,12.0675777,9183.85,11020.62,603,25,2072,solar_thermal
DE0 E heat,solar_thermal,2048,0.09366666666666668,12.489831800000001,9505.2,11406.24,624,25,2073,solar_thermal
DE0 E heat,solar_thermal,2049,0.09683333333333334,12.912085900000001,9826.55,11791.86,646,25,2074,solar_thermal
DE0 E heat,solar_thermal,2050,0.1,13.334340000000001,10147.9,12177.48,667,25,2075,solar_thermal
